CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36681.86608 0.325423 -0.698733 0.601596 0.209652
60928 36682.86608 0.322849 -0.690808 0.610718 0.213485
60928 36683.86608 0.321170 -0.684900 0.617335 0.216010
60928 36684.86608 0.322372 -0.687232 0.614733 0.214221
60928 36685.86608 0.325476 -0.695617 0.605265 0.209372
60928 36686.86608 0.327615 -0.701812 0.598146 0.205789
60928 36687.86608 0.326976 -0.699947 0.600402 0.206586
60928 36688.86608 0.324444 -0.692039 0.609535 0.210440
60928 36689.86608 0.322796 -0.686142 0.616159 0.212978
60928 36690.86608 0.323991 -0.688470 0.613548 0.211182
60928 36691.86608 0.327055 -0.696840 0.604058 0.206308
60928 36692.86608 0.329164 -0.703024 0.596923 0.202709
60928 36693.86608 0.328536 -0.701165 0.599179 0.203510
60928 36694.86608 0.326045 -0.693274 0.608323 0.207384
60928 36695.86608 0.324430 -0.687389 0.614954 0.209937
60928 36696.86608 0.325616 -0.689713 0.612333 0.208131
60928 36697.86608 0.328641 -0.698066 0.602823 0.203233
60928 36698.86608 0.330719 -0.704240 0.595671 0.199617
60928 36699.86608 0.330101 -0.702387 0.597927 0.200422
60928 36700.86608 0.327651 -0.694514 0.607083 0.204316
60928 36701.86608 0.326068 -0.688641 0.613721 0.206882
60928 36702.86608 0.327245 -0.690960 0.611091 0.205068
60928 36703.86608 0.330230 -0.699297 0.601560 0.200145
60928 36704.86608 0.332278 -0.705459 0.594393 0.196511
60928 36705.86608 0.331669 -0.703613 0.596649 0.197320
60928 36706.86608 0.329260 -0.695758 0.605817 0.201233
60928 36707.86608 0.327708 -0.689898 0.612462 0.203813
60928 36708.86608 0.328876 -0.692212 0.609823 0.201988
60928 36709.86608 0.331820 -0.700532 0.600271 0.197040
60928 36710.86608 0.333836 -0.706683 0.593088 0.193388
60928 36711.86608 0.333237 -0.704843 0.595344 0.194201
60928 36712.86608 0.330869 -0.697007 0.604524 0.198133
60928 36713.86608 0.329348 -0.691160 0.611177 0.200725
60928 36714.86608 0.330506 -0.693469 0.608530 0.198891
60928 36715.86608 0.333409 -0.701773 0.598957 0.193918
60928 36716.86608 0.335394 -0.707913 0.591758 0.190246
60928 36717.86608 0.334803 -0.706079 0.594015 0.191062
60928 36718.86608 0.332476 -0.698262 0.603208 0.195014
60928 36719.86608 0.330986 -0.692428 0.609868 0.197618
60928 36720.86608 0.332134 -0.694732 0.607212 0.195773
60928 36721.86608 0.334995 -0.703018 0.597619 0.190774
60928 36722.86608 0.336947 -0.709147 0.590404 0.187084
60928 36723.86608 0.336366 -0.707320 0.592663 0.187902
60928 36724.86608 0.334079 -0.699522 0.601868 0.191872
60928 36725.86608 0.332620 -0.693701 0.608537 0.194488
60928 36726.86608 0.333758 -0.696001 0.605872 0.192633
60928 36727.86608 0.336576 -0.704270 0.596258 0.187607
60928 36728.86608 0.338494 -0.710387 0.589028 0.183897
60928 36729.86608 0.337921 -0.708567 0.591288 0.184718
60928 36730.86608 0.335675 -0.700789 0.600506 0.188706
60928 36731.86608 0.334246 -0.694981 0.607183 0.191333
60928 36732.86608 0.335374 -0.697276 0.604510 0.189467
60928 36733.86608 0.338149 -0.705527 0.594876 0.184415
60928 36734.86608 0.340033 -0.711632 0.587631 0.180685
60928 36735.86608 0.339468 -0.709819 0.589892 0.181508
60928 36736.86608 0.337262 -0.702061 0.599124 0.185512
60928 36737.86608 0.335864 -0.696268 0.605810 0.188151
60928 36738.86608 0.336980 -0.698558 0.603128 0.186273
60928 36739.86608 0.339711 -0.706791 0.593474 0.181194
60928 36740.86608 0.341561 -0.712883 0.586214 0.177444
60928 36741.86608 0.341004 -0.711078 0.588477 0.178269
60928 36742.86608 0.338838 -0.703340 0.597722 0.182290
60928 36743.86608 0.337471 -0.697561 0.604417 0.184939
60928 36744.86608 0.338575 -0.699846 0.601727 0.183049
60928 36745.86608 0.341261 -0.708061 0.592053 0.177942
60928 36746.86608 0.343075 -0.714141 0.584778 0.174173
60928 36747.86608 0.342526 -0.712343 0.587043 0.174998
60928 36748.86608 0.340401 -0.704626 0.596302 0.179035
60928 36749.86608 0.339064 -0.698861 0.603006 0.181694
60928 36750.86608 0.340156 -0.701141 0.600309 0.179792
60928 36751.86608 0.342797 -0.709337 0.590615 0.174658
60928 36752.86608 0.344574 -0.715405 0.583325 0.170867
60928 36753.86608 0.344032 -0.713615 0.585592 0.171693
60928 36754.86608 0.342093 -0.705875 0.594783 0.175914
60928 36755.86608 0.341066 -0.700043 0.601330 0.178930
60928 36756.86608 0.342427 -0.702235 0.598459 0.177361
60928 36757.86608 0.345318 -0.710323 0.588583 0.172532
60928 36758.86608 0.347364 -0.716285 0.581117 0.169046
60928 36759.86608 0.347119 -0.714415 0.583222 0.170211
60928 36760.86608 0.345339 -0.706666 0.592339 0.174639
60928 36761.86608 0.344320 -0.700859 0.598890 0.177683
60928 36762.86608 0.345670 -0.703044 0.596012 0.176100
60928 36763.86608 0.348538 -0.711101 0.586122 0.171225
60928 36764.86608 0.350568 -0.717039 0.578647 0.167702
60928 36765.86608 0.350326 -0.715179 0.580753 0.168870
60928 36766.86608 0.348563 -0.707463 0.589877 0.173336
60928 36767.86608 0.347551 -0.701681 0.596432 0.176410
60928 36768.86608 0.348890 -0.703859 0.593547 0.174815
60928 36769.86608 0.351735 -0.711884 0.583643 0.169895
60928 36770.86608 0.353749 -0.717799 0.576158 0.166336
60928 36771.86608 0.353512 -0.715948 0.578264 0.167510
60928 36772.86608 0.351765 -0.708265 0.587396 0.172015
60928 36773.86608 0.350762 -0.702508 0.593954 0.175118
60928 36774.86608 0.352090 -0.704679 0.591061 0.173513
60928 36775.86608 0.354913 -0.712672 0.581142 0.168549
60928 36776.86608 0.356912 -0.718563 0.573647 0.164955
60928 36777.86608 0.356680 -0.716720 0.575752 0.166135
60928 36778.86608 0.354951 -0.709071 0.584891 0.170679
60928 36779.86608 0.353958 -0.703339 0.591453 0.173814
60928 36780.86608 0.355276 -0.705503 0.588552 0.172198
60928 36781.86608 0.358076 -0.713463 0.578618 0.167191
60928 36782.86608 0.360060 -0.719330 0.571111 0.163563
60928 36783.86608 0.359835 -0.717495 0.573217 0.164750
60928 36784.86608 0.358124 -0.709879 0.582362 0.169334
60928 36785.86608 0.357141 -0.704172 0.588927 0.172501
60928 36786.86608 0.358450 -0.706328 0.586017 0.170877
60928 36787.86608 0.361229 -0.714256 0.576067 0.165828
60928 36788.86608 0.363199 -0.720097 0.568550 0.162167
60928 36789.86608 0.362980 -0.718270 0.570654 0.163362
60928 36790.86608 0.361289 -0.710687 0.579806 0.167987
60928 36791.86608 0.360317 -0.705006 0.586373 0.171187
60928 36792.86608 0.361617 -0.707153 0.583454 0.169554
60928 36793.86608 0.364375 -0.715047 0.573488 0.164465
60928 36794.86608 0.366333 -0.720863 0.565959 0.160772
60928 36795.86608 0.366121 -0.719044 0.568062 0.161976
60928 36796.86608 0.364449 -0.711495 0.577220 0.166642
60928 36797.86608 0.363489 -0.705839 0.583789 0.169876
60928 36798.86608 0.364769 -0.707981 0.580869 0.168220
60928 36799.86608 0.367264 -0.715911 0.571042 0.162789
60928 36800.86608 0.368943 -0.721778 0.563661 0.158756
60928 36801.86608 0.368478 -0.720045 0.565924 0.159657
60928 36802.86608 0.366579 -0.712598 0.575252 0.164041
60928 36803.86608 0.365392 -0.707033 0.581989 0.166978
60928 36804.86608 0.366422 -0.709237 0.579214 0.165014
60928 36805.86608 0.368860 -0.717148 0.569372 0.159548
60928 36806.86608 0.370507 -0.723000 0.561974 0.155501
60928 36807.86608 0.370052 -0.721273 0.564236 0.156409
60928 36808.86608 0.368198 -0.713849 0.573575 0.160816
60928 36809.86608 0.367045 -0.708299 0.580319 0.163770
60928 36810.86608 0.368066 -0.710495 0.577534 0.161799
60928 36811.86608 0.370464 -0.718383 0.567670 0.156312
60928 36812.86608 0.372079 -0.724218 0.560256 0.152248
60928 36813.86608 0.371636 -0.722497 0.562518 0.153163
60928 36814.86608 0.369826 -0.715095 0.571868 0.157592
60928 36815.86608 0.368707 -0.709560 0.578618 0.160563
60928 36816.86608 0.369336 -0.710355 0.577541 0.159477
60928 36817.86608 0.371239 -0.716525 0.569843 0.155092
60928 36818.86608 0.372389 -0.720680 0.564623 0.152144
60928 36819.86608 0.371487 -0.717230 0.569040 0.154179
60928 36820.86608 0.369187 -0.707995 0.580461 0.159715
